comments,date_string,datetime,engagement_score,favorites,name,party,retweets,stream_id,text,tweet_url,twitter_username,unix_time
17680,7:49 AM - 7 May 2019,2019-05-07 07:49:00,29689.34015553014,78338,Donald Trump,Republican,18895,1125774545988857856,"Democrats in Congress must vote to close the terrible loopholes at the Southern Border. If not, harsh measures will have to be taken!",https://twitter.com/realDonaldTrump/status/1125774545988857856,realDonaldTrump,1557240542
8522,1:00 PM - 6 May 2019,2019-05-06 13:00:00,24416.699012056946,88034,Donald Trump,Republican,19403,1125490561916506113,"Today, it was my true honor to present the Commander-in-Chief’s Trophy—for the second year in a row, to the @ArmyWP_Football Black Knights. Congratulations once again on your historic victories, and keep on making us proud!",https://twitter.com/realDonaldTrump/status/1125490561916506113,realDonaldTrump,1557172835
3393,10:21 AM - 6 May 2019,2019-05-06 10:21:00,12696.75275636289,52676,Donald Trump,Republican,11452,1125450630196232192,Congratulations @ArmyWP_Football!,https://twitter.com/realDonaldTrump/status/1125450630196232192,realDonaldTrump,1557163314
8999,6:51 AM - 6 May 2019,2019-05-06 06:51:00,22556.30178925758,78819,Donald Trump,Republican,16180,1125397761204072449,Just spoke to Prime Minister Abe of Japan concerning North Korea and Trade. Very good conversation!,https://twitter.com/realDonaldTrump/status/1125397761204072449,realDonaldTrump,1557150709
10180,6:48 AM - 6 May 2019,2019-05-06 06:48:00,27737.13122095734,90616,Donald Trump,Republican,23133,1125396971852845056,"....Alabama, Iowa, Nebraska, Georgia, South Carolina, North Carolina and others unless much more money is given to Puerto Rico. The Dems don’t want farmers to get any help. Puerto Rico should be very happy and the Dems should stop blocking much needed Disaster Relief!",https://twitter.com/realDonaldTrump/status/1125396971852845056,realDonaldTrump,1557150521
16378,6:48 AM - 6 May 2019,2019-05-06 06:48:00,35029.272520825834,96376,Donald Trump,Republican,27231,1125396971009859585,"Puerto Rico has been given more money by Congress for Hurricane Disaster Relief, 91 Billion Dollars, than any State in the history of the U.S. As an example, Florida got $12 Billion & Texas $39 Billion for their monster hurricanes. Now the Democrats are saying NO Relief to......",https://twitter.com/realDonaldTrump/status/1125396971009859585,realDonaldTrump,1557150521
17065,6:30 AM - 6 May 2019,2019-05-06 06:30:00,34984.014371630445,93251,Donald Trump,Republican,26906,1125392330083663875,"Scott Walker is 100% correct when he says that the Republicans must WAKE UP to the Democrats State by State power grab. They play very dirty, actually, like never before. Don’t allow them to get away with what they are doing!",https://twitter.com/realDonaldTrump/status/1125392330083663875,realDonaldTrump,1557149414
15063,4:08 AM - 6 May 2019,2019-05-06 04:08:00,36392.549477731576,116735,Donald Trump,Republican,27411,1125356705787850753,"The United States has been losing, for many years, 600 to 800 Billion Dollars a year on Trade. With China we lose 500 Billion Dollars. Sorry, we’re not going to be doing that anymore!",https://twitter.com/realDonaldTrump/status/1125356705787850753,realDonaldTrump,1557140921
17020,3:46 AM - 6 May 2019,2019-05-06 03:46:00,34455.09652345628,100257,Donald Trump,Republican,23971,1125351003572797440,"Also, there are “No High Crimes & Misdemeanors,” No Collusion, No Conspiracy, No Obstruction. ALL THE CRIMES ARE ON THE OTHER SIDE, and that’s what the Dems should be looking at, but they won’t. Nevertheless, the tables are turning!",https://twitter.com/realDonaldTrump/status/1125351003572797440,realDonaldTrump,1557139561
18847,3:46 AM - 6 May 2019,2019-05-06 03:46:00,42052.836963109236,127810,Donald Trump,Republican,30873,1125351000704000000,"“Democrat Texas Congressman Al Green says impeachment is the only thing that can prevent President Trump from re-election in 2020.” @OANN  In other words, Dems can’t win the election fairly. You can’t impeach a president for creating the best economy in our country’s history.....",https://twitter.com/realDonaldTrump/status/1125351000704000000,realDonaldTrump,1557139561
11376,8:05 PM - 5 May 2019,2019-05-05 20:05:00,29692.709191986633,107680,Donald Trump,Republican,21371,1125235131759960064,.....The Witch Hunt is over but we will never forget. MAKE AMERICA GREAT AGAIN!,https://twitter.com/realDonaldTrump/status/1125235131759960064,realDonaldTrump,1557111935
22675,8:05 PM - 5 May 2019,2019-05-05 20:05:00,42360.09765219459,128062,Donald Trump,Republican,26176,1125235130002489345,"Despite the tremendous success that I have had as President, including perhaps the greatest ECONOMY and most successful first two years of any President in history, they have stolen two years of my (our) Presidency (Collusion Delusion) that we will never be able to get back.....",https://twitter.com/realDonaldTrump/status/1125235130002489345,realDonaldTrump,1557111935
6235,5:13 PM - 5 May 2019,2019-05-05 17:13:00,22851.781803772163,93967,Donald Trump,Republican,20368,1125191945654099968,....To the Gazan people — these terrorist acts against Israel will bring you nothing but more misery. END the violence and work towards peace - it can happen!,https://twitter.com/realDonaldTrump/status/1125191945654099968,realDonaldTrump,1557101639
8961,5:13 PM - 5 May 2019,2019-05-05 17:13:00,33720.212088073014,138300,Donald Trump,Republican,30938,1125191944525832192,"Once again, Israel faces a barrage of deadly rocket attacks by terrorist groups Hamas and Islamic Jihad. We support Israel 100% in its defense of its citizens....",https://twitter.com/realDonaldTrump/status/1125191944525832192,realDonaldTrump,1557101639
3337,5:08 PM - 5 May 2019,2019-05-05 17:08:00,13681.893484314973,57388,Donald Trump,Republican,13374,1125190521918513153,"Pending the confirmation of Mark Morgan as our Nation’s new ICE Director, Matt Albence will serve in the role of Acting Director. Matt is tough and dedicated and has my full support to deploy ICE to the maximum extent of the law! #MAGA",https://twitter.com/realDonaldTrump/status/1125190521918513153,realDonaldTrump,1557101300
8364,1:03 PM - 5 May 2019,2019-05-05 13:03:00,20136.419768586853,62420,Donald Trump,Republican,15639,1125129024890703878,"“This is not Congressional Oversight, this is bullying.” Jason Riley, The Wall Street Journal",https://twitter.com/realDonaldTrump/status/1125129024890703878,realDonaldTrump,1557086638
4838,1:01 PM - 5 May 2019,2019-05-05 13:01:00,15198.701465200544,53628,Donald Trump,Republican,13532,1125128484270026753,"“The Report sounded an awful lot as being Comeyesque, in other words, I’m not going to charge this person (there wasn’t even close to being a crime), but I’m going to criticize him on the way out the door. That’s unfortunate because it’s stepping outside of the role.” Robert Ray",https://twitter.com/realDonaldTrump/status/1125128484270026753,realDonaldTrump,1557086509
27390,11:03 AM - 5 May 2019,2019-05-05 11:03:00,33775.33148399141,77982,Donald Trump,Republican,18039,1125098705533767680,"....to testify. Are they looking for a redo because they hated seeing the strong NO COLLUSION conclusion? There was no crime, except on the other side (incredibly not covered in the Report), and NO OBSTRUCTION. Bob Mueller should not testify. No redos for the Dems!",https://twitter.com/realDonaldTrump/status/1125098705533767680,realDonaldTrump,1557079409
21019,11:03 AM - 5 May 2019,2019-05-05 11:03:00,35716.53293261042,95396,Donald Trump,Republican,22723,1125098704560689157,"After spending more than $35,000,000 over a two year period, interviewing 500 people, using 18 Trump Hating Angry Democrats & 49 FBI Agents - all culminating in a more than 400 page Report showing NO COLLUSION - why would the Democrats in Congress now need Robert Mueller.......",https://twitter.com/realDonaldTrump/status/1125098704560689157,realDonaldTrump,1557079409
8168,9:08 AM - 5 May 2019,2019-05-05 09:08:00,22419.179643753734,75444,Donald Trump,Republican,18286,1125069836088950784,"....of additional goods sent to us by China remain untaxed, but will be shortly, at a rate of 25%. The Tariffs paid to the USA have had little impact on product cost, mostly borne by China. The Trade Deal with China continues, but too slowly, as they attempt to renegotiate. No!",https://twitter.com/realDonaldTrump/status/1125069836088950784,realDonaldTrump,1557072526
13988,9:08 AM - 5 May 2019,2019-05-05 09:08:00,33406.69381262679,101288,Donald Trump,Republican,26314,1125069835044573186,"For 10 months, China has been paying Tariffs to the USA of 25% on 50 Billion Dollars of High Tech, and 10% on 200 Billion Dollars of other goods. These payments are partially responsible for our great economic results. The 10% will go up to 25% on Friday. 325 Billions Dollars....",https://twitter.com/realDonaldTrump/status/1125069835044573186,realDonaldTrump,1557072526
20708,8:59 AM - 5 May 2019,2019-05-05 08:59:00,28519.272371622614,73496,Donald Trump,Republican,15241,1125067530828173313,"The Kentucky Derby decision was not a good one. It was a rough & tumble race on a wet and sloppy track, actually, a beautiful thing to watch. Only in these days of political correctness could such an overturn occur. The best horse did NOT win the Kentucky Derby - not even close!",https://twitter.com/realDonaldTrump/status/1125067530828173313,realDonaldTrump,1557071976
